ID,Product Name,Price,Brand,Quantity,Size,ItemType
4000,Cola Reserve,2.60,Hearthstone Distributors,220,20oz,D
4001,Diet Cola Reserve,2.60,Hearthstone Distributors,220,20oz,D
4002,Citrus Twist Reserve,2.60,Hearthstone Distributors,220,20oz,D
4003,Ginger Brew Reserve,2.60,Hearthstone Distributors,220,20oz,D
4004,Orange Spark Reserve,2.60,Hearthstone Distributors,220,20oz,D
4005,Root Brew Reserve,2.60,Hearthstone Distributors,220,20oz,D
4006,Citrus Energy Reserve,2.60,Hearthstone Distributors,220,16oz,D
4007,Berry Sports Reserve,2.60,Hearthstone Distributors,220,20oz,D
4008,Unsweet Iced Tea Reserve,2.60,Hearthstone Distributors,220,16oz,D
4009,Sweet Iced Tea Reserve,2.60,Hearthstone Distributors,220,16oz,D
4010,Potato Chips Reserve,3.60,Hearthstone Distributors,220,M,NR
4011,Tortilla Chips Reserve,3.60,Hearthstone Distributors,220,M,NR
4012,Cheese Puffs Reserve,3.60,Hearthstone Distributors,220,M,NR
4013,Salted Pretzels Reserve,3.60,Hearthstone Distributors,220,M,NR
4014,Butter Popcorn Reserve,3.60,Hearthstone Distributors,220,L,NR
4015,Granola Bars Reserve,3.60,Hearthstone Distributors,220,1pk,NR
4016,Trail Mix Reserve,3.60,Hearthstone Distributors,220,M,NR
4017,Roasted Peanuts Reserve,3.60,Hearthstone Distributors,220,M,NR
4018,Chocolate Chip Cookies Reserve,3.60,Hearthstone Distributors,220,12pk,NR
4019,Vanilla Wafers Reserve,3.60,Hearthstone Distributors,220,M,NR
Totals,13640.00
